Time,Score,TensionZ,AsymZ,DurScore,SuppScore,BPM,BlinkRate,Flags
03:27:57.122,1.23,-1.53,1.13,0.0,0.0,48,24,EXPRESSION EVENT
03:27:57.139,1.23,-2.95,1.71,0.0,0.0,48,24,EXPRESSION EVENT
03:27:57.174,1.23,-2.8,2.36,0.0,0.0,48,24,EXPRESSION EVENT
03:27:57.191,1.23,-2.69,2.85,0.0,0.0,48,24,EXPRESSION EVENT
03:27:57.271,1.23,-4.21,3.75,0.0,0.0,48,24,EXPRESSION EVENT
03:27:57.295,1.23,-5.35,4.42,0.0,0.0,48,24,EXPRESSION EVENT
03:27:57.317,1.23,-4.93,5.42,0.0,0.0,48,24,EXPRESSION EVENT
03:27:57.336,1.23,-5.06,7.53,0.0,0.0,48,24,EXPRESSION EVENT
03:27:57.401,1.23,-4.79,8.91,0.0,0.0,48,24,EXPRESSION EVENT
03:27:57.423,1.23,-4.63,11.52,0.0,0.0,48,24,EXPRESSION EVENT
03:27:57.457,1.23,-3.62,13.14,0.0,0.0,48,24,ASYMMETRY +13 | EXPRESSION EVENT
03:27:57.474,1.23,-2.86,14.36,0.0,0.0,48,24,ASYMMETRY +14 | EXPRESSION EVENT
03:27:57.510,1.23,-5.7,16.47,0.0,0.0,48,24,ASYMMETRY +16 | EXPRESSION EVENT
03:27:57.526,1.23,-7.83,18.05,0.0,0.0,48,24,ASYMMETRY +18 | EXPRESSION EVENT
03:27:57.604,1.23,-8.83,20.34,0.0,0.0,48,24,ASYMMETRY +20 | EXPRESSION EVENT
03:27:57.621,1.23,-9.57,22.05,0.0,0.0,48,24,ASYMMETRY +22 | EXPRESSION EVENT
03:27:57.643,1.23,-7.77,23.33,0.0,0.0,48,24,ASYMMETRY +23
03:27:57.661,1.23,-7.77,24.58,0.0,0.0,48,24,ASYMMETRY +24
03:27:57.712,1.23,-8.91,25.68,0.0,0.0,48,24,ASYMMETRY +25
03:27:57.731,1.23,-7.79,26.23,0.0,0.0,48,24,ASYMMETRY +26
03:27:57.791,1.23,-7.0,26.11,0.0,0.0,48,24,ASYMMETRY +26
03:27:57.810,1.23,-6.41,26.01,0.0,0.0,48,24,ASYMMETRY +26
03:27:57.861,1.23,-1.61,25.47,0.0,0.0,48,24,ASYMMETRY +25
03:27:57.884,1.23,1.98,25.07,0.0,0.0,48,24,ASYMMETRY +25
03:27:57.911,1.23,0.16,25.0,0.0,0.0,48,24,ASYMMETRY +25 | POSTURAL SHIFT
03:27:57.928,1.23,-0.92,25.28,0.0,0.0,48,24,ASYMMETRY +25 | POSTURAL SHIFT
03:27:57.997,1.23,-1.09,25.37,0.0,0.0,48,24,ASYMMETRY +25 | POSTURAL SHIFT
03:27:58.016,1.23,-1.23,25.43,0.0,0.0,48,24,ASYMMETRY +25 | POSTURAL SHIFT
03:27:58.040,1.23,1.67,24.92,0.0,0.0,48,24,ASYMMETRY +24 | POSTURAL SHIFT
03:27:58.058,1.23,2.47,24.09,0.0,0.0,48,24,ASYMMETRY +24 | POSTURAL SHIFT
03:27:58.132,1.23,2.7,23.42,0.0,0.0,48,24,ASYMMETRY +23 | POSTURAL SHIFT
03:27:58.153,1.23,2.88,22.92,0.0,0.0,48,24,ASYMMETRY +22 | POSTURAL SHIFT
03:27:58.191,1.23,1.25,22.75,0.0,0.0,48,20,ASYMMETRY +22 | POSTURAL SHIFT
03:27:58.210,1.23,0.03,22.62,0.0,0.0,48,20,ASYMMETRY +22 | POSTURAL SHIFT
03:27:58.245,1.23,-2.29,22.71,0.0,0.0,48,20,ASYMMETRY +22 | POSTURAL SHIFT
03:27:58.261,1.23,-4.02,22.79,0.0,0.0,48,20,ASYMMETRY +22 | POSTURAL SHIFT
03:27:58.332,1.23,-5.78,22.88,0.0,0.0,48,20,ASYMMETRY +22 | POSTURAL SHIFT
03:27:58.357,1.23,-7.09,22.94,0.0,0.0,48,20,ASYMMETRY +22 | POSTURAL SHIFT
