Time,Score,TensionZ,AsymZ,DurScore,SuppScore,BPM,BlinkRate,Flags
03:25:10.583,0.14,1.26,-3.11,0.0,0.0,155,28,TACHYCARDIA 155bpm
03:25:10.603,0.29,1.89,-3.13,0.0,0.0,155,28,TACHYCARDIA 155bpm
03:25:10.665,0.47,3.12,-3.17,0.0,0.0,155,28,TACHYCARDIA 155bpm
03:25:10.682,0.67,4.04,-3.19,0.0,0.0,155,28,TACHYCARDIA 155bpm
03:25:10.712,0.9,5.7,-3.57,0.0,0.0,155,28,TACHYCARDIA 155bpm
03:25:10.730,1.15,6.95,-3.85,0.0,0.0,155,28,TACHYCARDIA 155bpm
03:25:10.776,1.34,6.58,-4.23,0.0,0.0,155,28,TACHYCARDIA 155bpm
03:25:10.792,1.49,6.3,-4.41,0.0,0.0,155,28,TACHYCARDIA 155bpm
03:25:10.839,1.65,6.7,-4.13,0.0,0.0,156,28,TACHYCARDIA 156bpm
03:25:10.857,1.81,7.0,-3.92,0.0,0.0,156,28,TACHYCARDIA 156bpm
03:25:10.902,1.93,6.46,-3.77,0.0,0.0,156,28,TACHYCARDIA 156bpm
03:25:10.919,2.02,6.05,-3.65,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.004,2.1,5.91,-3.53,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.022,2.17,5.81,-3.45,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.048,2.24,5.79,-3.24,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.064,2.3,5.78,-3.08,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.109,2.3,4.78,-3.44,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.127,2.26,4.03,-3.72,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.198,2.17,2.97,-4.03,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.216,2.06,2.17,-4.26,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.245,1.88,0.81,-4.68,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.261,1.68,-0.22,-4.99,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.312,1.47,-0.62,-5.26,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.330,1.27,-0.93,-5.46,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.405,1.07,-1.5,-5.68,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.424,0.88,-1.88,-5.46,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.447,0.7,-2.21,-5.32,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.464,0.54,-2.45,-5.22,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.525,0.37,-2.99,-5.34,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.540,0.2,-3.39,-5.42,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.575,0.04,-3.42,-5.57,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.595,-0.1,-3.43,-5.69,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.653,-0.16,-2.08,-5.41,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.680,-0.16,-1.07,-5.21,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.707,-0.05,1.82,-5.63,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.722,0.13,3.98,-5.81,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.801,0.34,5.27,-5.67,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.819,0.58,6.23,-5.56,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.847,0.86,7.88,-5.33,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.862,1.16,9.11,-5.13,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.909,1.47,10.02,-5.01,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:11.925,1.78,10.7,-4.92,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:12.002,1.99,9.19,-4.9,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:12.024,2.12,8.06,-4.88,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:12.046,2.19,6.84,-4.81,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:12.065,2.21,5.79,-4.67,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:12.101,2.2,5.23,-4.59,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:12.118,2.19,4.81,-4.53,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:12.206,2.19,4.91,-4.08,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:12.228,2.2,4.98,-3.75,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:12.249,2.18,4.45,-4.01,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:12.267,2.15,4.04,-4.21,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:12.327,2.09,3.9,-4.67,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:12.345,2.03,3.79,-5.01,0.0,0.0,156,24,TACHYCARDIA 156bpm
03:25:12.375,1.95,2.98,-4.7,0.0,0.0,156,28,TACHYCARDIA 156bpm
03:25:12.394,1.78,0.3,-4.44,0.0,0.0,156,28,TACHYCARDIA 156bpm
03:25:12.452,1.53,-2.19,-4.02,0.0,0.0,150,28,TACHYCARDIA 150bpm
03:25:12.478,1.24,-4.05,-3.71,0.0,0.0,150,28,TACHYCARDIA 150bpm
03:25:12.507,0.84,-7.86,-3.42,0.0,0.0,150,28,TACHYCARDIA 150bpm
03:25:12.524,0.38,-10.72,-3.19,0.0,0.0,150,28,TACHYCARDIA 150bpm
03:25:12.590,0.03,-9.19,-3.04,0.0,0.0,150,28,TACHYCARDIA 150bpm
03:25:12.612,-0.22,-8.05,-2.93,0.0,0.0,150,28,TACHYCARDIA 150bpm
03:25:12.645,-0.38,-6.88,-2.64,0.0,0.0,150,28,TACHYCARDIA 150bpm
03:25:12.663,-0.48,-6.01,-2.43,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:12.729,-0.52,-4.93,-2.44,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:12.747,-0.52,-4.12,-2.44,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:12.785,-0.48,-3.19,-2.3,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:12.807,-0.42,-2.49,-2.2,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:12.836,-0.3,-0.9,-2.62,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:12.852,-0.16,0.28,-2.93,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:12.930,-0.0,1.39,-3.31,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:12.953,0.16,2.22,-3.59,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:12.980,0.35,3.17,-3.38,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:12.998,0.56,3.88,-3.23,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.065,0.72,3.74,-3.48,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.084,0.86,3.63,-3.67,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.111,0.98,3.75,-3.86,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.129,1.05,3.02,-3.84,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.198,1.09,2.36,-3.75,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.218,1.11,1.86,-3.68,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.242,0.99,-0.89,-4.15,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.261,0.82,-2.95,-3.85,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.321,0.65,-3.03,-4.13,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.344,0.49,-3.09,-4.34,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.400,0.28,-4.88,-4.32,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.420,0.05,-6.22,-3.82,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.446,-0.19,-7.01,-3.78,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.465,-0.42,-7.61,-3.74,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.530,-0.55,-6.03,-3.73,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.550,-0.62,-4.85,-3.72,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.577,-0.61,-3.21,-3.65,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.597,-0.57,-2.54,-3.68,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.638,-0.54,-2.32,-3.75,0.0,0.0,150,24,TACHYCARDIA 150bpm
03:25:13.657,-0.53,-3.15,-3.55,0.0,0.0,150,20,TACHYCARDIA 150bpm
03:25:13.731,-0.55,-3.91,-3.35,0.0,0.0,150,20,TACHYCARDIA 150bpm
03:25:13.753,-0.59,-4.47,-3.2,0.0,0.0,150,20,TACHYCARDIA 150bpm
03:25:13.782,-0.51,-1.83,-3.11,0.0,0.0,150,20,TACHYCARDIA 150bpm
03:25:13.800,-0.35,0.15,-3.03,0.0,0.0,150,20,TACHYCARDIA 150bpm
