Timestamp,Score,Physio,OptHR,BlinkRate,AU4_Z,AU23_Z,Flags
03:06:19.761,3.18,31.77,72,20,0.02,-1.24,
03:06:19.777,6.05,31.87,72,20,0.0,-1.24,
03:06:19.808,8.63,31.93,72,20,-0.01,-1.24,
03:06:19.823,10.97,31.98,72,20,-0.01,-1.24,
03:06:19.870,13.05,31.76,72,20,0.02,-1.24,
03:06:19.888,14.9,31.61,72,20,0.04,-1.24,
03:06:19.960,16.56,31.43,72,20,0.07,-1.24,
03:06:19.985,18.03,31.3,72,20,0.09,-1.24,
03:06:20.008,19.36,31.33,72,20,0.09,-1.24,
03:06:20.030,20.56,31.31,72,20,0.09,-1.23,
03:06:20.065,21.63,31.26,72,20,0.08,-1.22,
03:06:20.082,22.59,31.23,72,20,0.08,-1.21,
03:06:20.142,23.45,31.19,72,20,0.09,-1.21,
03:06:20.163,24.21,31.06,72,20,0.11,-1.21,
03:06:20.231,24.88,30.92,72,20,0.13,-1.2,
03:06:20.252,25.47,30.81,72,20,0.14,-1.2,
03:06:20.276,25.98,30.53,72,20,0.19,-1.2,
03:06:20.291,26.41,30.33,72,20,0.22,-1.2,
03:06:20.337,26.79,30.17,72,20,0.25,-1.2,
03:06:20.353,27.11,30.05,72,20,0.27,-1.2,
03:06:20.420,27.42,30.2,72,20,0.26,-1.22,
03:06:20.441,27.71,30.3,72,20,0.25,-1.23,
03:06:20.466,27.92,29.83,72,20,0.33,-1.23,
03:06:20.482,28.08,29.51,72,20,0.38,-1.23,
03:06:20.566,28.21,29.42,72,20,0.39,-1.22,
03:06:20.582,28.33,29.36,72,20,0.39,-1.22,
03:06:20.610,28.47,29.71,72,20,0.33,-1.21,
03:06:20.628,28.62,29.96,72,20,0.29,-1.21,
03:06:20.672,28.76,30.1,72,20,0.27,-1.21,
03:06:20.690,28.91,30.2,72,20,0.25,-1.22,
03:06:20.737,28.97,29.5,72,20,0.37,-1.22,
03:06:20.757,29.0,29.31,72,20,0.4,-1.22,
03:06:20.818,29.03,29.25,72,20,0.42,-1.22,
03:06:20.838,29.04,29.2,72,20,0.43,-1.23,
03:06:20.865,29.09,29.52,72,20,0.37,-1.23,
03:06:20.881,29.16,29.75,72,20,0.34,-1.23,
03:06:20.953,29.22,29.82,72,20,0.33,-1.23,
03:06:20.975,29.29,29.87,72,20,0.32,-1.24,
03:06:21.009,29.39,30.31,72,20,0.26,-1.24,
03:06:21.026,29.51,30.62,72,20,0.21,-1.25,
03:06:21.089,29.69,31.28,72,20,0.09,-1.23,
03:06:21.107,29.9,31.75,72,20,0.01,-1.22,
03:06:21.137,30.1,31.93,72,20,-0.03,-1.21,
03:06:21.155,30.3,32.06,72,20,-0.05,-1.2,
03:06:21.225,30.49,32.19,54,20,-0.07,-1.2,
03:06:21.244,30.67,32.29,54,20,-0.09,-1.2,
03:06:21.269,30.85,32.55,54,20,-0.13,-1.21,
03:06:21.285,31.04,32.73,54,20,-0.16,-1.21,
03:06:21.358,31.21,32.72,54,20,-0.17,-1.19,
03:06:21.377,31.36,32.71,54,20,-0.18,-1.18,
03:06:21.423,31.49,32.62,54,16,-0.16,-1.17,
03:06:21.442,31.59,32.56,54,16,-0.16,-1.17,
03:06:21.484,31.52,30.87,54,16,0.11,-1.17,
03:06:21.506,31.34,29.7,54,16,0.3,-1.16,
03:06:21.536,31.08,28.72,54,16,0.46,-1.17,
03:06:21.557,31.38,28.06,54,16,0.58,-1.17,AU4 MICRO-LEAKAGE
03:06:21.620,31.61,27.75,54,16,0.63,-1.17,AU4 MICRO-LEAKAGE
03:06:21.639,31.81,27.54,54,16,0.67,-1.17,AU4 MICRO-LEAKAGE
03:06:21.664,31.97,27.46,54,16,0.69,-1.17,AU4 MICRO-LEAKAGE
03:06:21.681,32.11,27.4,54,16,0.7,-1.17,AU4 MICRO-LEAKAGE
03:06:21.743,32.26,27.56,54,16,0.67,-1.18,AU4 MICRO-LEAKAGE
03:06:21.763,32.47,28.4,54,16,0.52,-1.17,AU4 MICRO-LEAKAGE
03:06:21.807,32.13,29.07,54,16,0.4,-1.16,
03:06:21.824,31.88,29.56,54,16,0.31,-1.15,
03:06:21.888,31.72,30.35,54,16,0.18,-1.15,
03:06:21.907,31.64,30.92,54,16,0.09,-1.15,
03:06:21.952,31.52,30.44,54,16,0.17,-1.15,
03:06:21.974,31.38,30.1,54,16,0.22,-1.15,
03:06:22.003,31.2,29.57,54,16,0.31,-1.15,
03:06:22.020,31.0,29.2,54,16,0.37,-1.15,
03:06:22.062,30.78,28.86,54,16,0.43,-1.15,
03:06:22.082,30.57,28.62,54,16,0.46,-1.14,
03:06:22.167,30.34,28.28,54,16,0.51,-1.13,
03:06:22.190,30.11,28.04,54,16,0.54,-1.11,
03:06:22.210,29.81,27.16,54,12,0.67,-1.09,
03:06:22.229,30.09,26.56,54,12,0.77,-1.07,AU4 MICRO-LEAKAGE
03:06:22.291,30.3,26.21,53,12,0.82,-1.06,AU4 MICRO-LEAKAGE
03:06:22.312,30.47,25.96,53,12,0.86,-1.05,AU4 MICRO-LEAKAGE
03:06:22.338,30.57,25.45,53,12,0.95,-1.04,AU4 MICRO-LEAKAGE
03:06:22.355,30.62,25.1,53,12,1.01,-1.03,AU4 MICRO-LEAKAGE
03:06:22.421,30.63,24.69,53,12,1.1,-1.03,AU4 MICRO-LEAKAGE
03:06:22.440,30.6,24.41,53,12,1.16,-1.04,AU4 MICRO-LEAKAGE
03:06:22.466,30.58,24.38,53,12,1.19,-1.06,AU4 MICRO-LEAKAGE
03:06:22.482,30.56,24.36,53,12,1.21,-1.07,AU4 MICRO-LEAKAGE
03:06:22.563,30.54,24.34,53,12,1.21,-1.07,AU4 MICRO-LEAKAGE
03:06:22.589,29.92,24.34,53,12,1.21,-1.07,
03:06:22.615,29.32,23.94,53,12,1.33,-1.09,
03:06:22.631,29.36,23.69,53,12,1.41,-1.11,AU4 MICRO-LEAKAGE
03:06:22.669,29.32,22.99,53,16,1.62,-1.12,AU4 MICRO-LEAKAGE
03:06:22.689,29.3,23.14,53,16,1.59,-1.13,AU4 MICRO-LEAKAGE
03:06:22.736,28.71,23.42,53,16,1.52,-1.14,
03:06:22.752,28.2,23.62,53,16,1.48,-1.14,
03:06:22.821,27.8,24.12,53,16,1.36,-1.15,
03:06:22.840,27.47,24.49,53,16,1.28,-1.16,
03:06:22.867,27.23,25.07,53,16,1.15,-1.17,
03:06:22.886,27.05,25.49,53,16,1.06,-1.17,
03:06:22.962,26.94,25.93,53,16,0.98,-1.18,
03:06:22.981,26.87,26.24,53,16,0.92,-1.18,
03:06:23.008,26.82,26.36,53,16,0.91,-1.19,
03:06:23.026,27.38,26.44,53,16,0.9,-1.2,AU4 MICRO-LEAKAGE
03:06:23.070,27.95,27.03,53,16,0.79,-1.2,AU4 MICRO-LEAKAGE
03:06:23.090,28.49,27.36,53,16,0.71,-1.18,AU4 MICRO-LEAKAGE
03:06:23.161,29.0,27.6,53,16,0.64,-1.15,AU4 MICRO-LEAKAGE
03:06:23.183,29.48,27.77,53,16,0.6,-1.13,AU4 MICRO-LEAKAGE
03:06:23.205,29.9,27.68,53,16,0.61,-1.12,AU4 MICRO-LEAKAGE
03:06:23.224,29.67,27.63,53,16,0.61,-1.12,
03:06:23.262,29.49,27.9,53,16,0.57,-1.13,
03:06:23.281,29.35,28.1,53,16,0.55,-1.14,
03:06:23.369,29.37,29.56,53,16,0.31,-1.15,
03:06:23.388,30.1,30.61,53,16,0.14,-1.15,AU4 MICRO-LEAKAGE
03:06:23.414,30.8,31.11,53,16,0.07,-1.16,AU4 MICRO-LEAKAGE
03:06:23.431,31.46,31.45,53,16,0.02,-1.17,AU4 MICRO-LEAKAGE
03:06:23.469,32.08,31.63,53,16,-0.0,-1.17,AU4 MICRO-LEAKAGE
03:06:23.489,32.69,32.13,53,16,-0.09,-1.17,AU4 MICRO-LEAKAGE
03:06:23.555,33.25,32.36,53,16,-0.12,-1.17,AU4 MICRO-LEAKAGE
03:06:23.573,33.78,32.51,53,16,-0.15,-1.17,AU4 MICRO-LEAKAGE
03:06:23.600,34.26,32.56,53,16,-0.16,-1.17,AU4 MICRO-LEAKAGE
03:06:23.620,34.69,32.63,53,16,-0.16,-1.18,AU4 MICRO-LEAKAGE
03:06:23.690,35.09,32.64,53,16,-0.16,-1.18,AU4 MICRO-LEAKAGE
03:06:23.714,34.84,32.58,53,16,-0.15,-1.18,
03:06:23.753,34.6,32.41,53,16,-0.13,-1.18,
03:06:23.772,34.37,32.3,53,16,-0.11,-1.18,
03:06:23.818,34.16,32.28,53,16,-0.11,-1.18,
03:06:23.838,33.97,32.27,53,16,-0.11,-1.17,
03:06:23.869,33.79,32.18,48,16,-0.1,-1.17,
03:06:23.888,33.62,32.11,48,16,-0.09,-1.16,
03:06:23.952,33.45,31.91,48,16,-0.07,-1.14,
03:06:23.976,33.28,31.76,48,16,-0.06,-1.13,
03:06:24.009,33.09,31.41,48,16,0.0,-1.13,
03:06:24.026,32.9,31.16,48,16,0.04,-1.14,
03:06:24.075,32.72,31.08,48,16,0.06,-1.14,
03:06:24.093,32.55,31.02,48,16,0.07,-1.14,
03:06:24.164,32.36,30.69,48,16,0.13,-1.15,
03:06:24.184,32.17,30.46,48,16,0.16,-1.15,
03:06:24.207,31.99,30.4,48,16,0.18,-1.16,
03:06:24.225,31.83,30.36,48,16,0.19,-1.17,
03:06:24.289,31.69,30.4,48,16,0.19,-1.17,
03:06:24.307,31.56,30.43,48,16,0.19,-1.17,
03:06:24.337,31.48,30.71,48,16,0.15,-1.18,
03:06:24.356,31.37,30.39,48,16,0.2,-1.18,
03:06:24.416,31.22,29.91,48,16,0.28,-1.18,
03:06:24.441,31.06,29.57,48,16,0.33,-1.18,
03:06:24.469,30.78,28.29,48,16,0.53,-1.16,
03:06:24.487,31.04,27.42,48,16,0.67,-1.15,AU4 MICRO-LEAKAGE
03:06:24.562,31.14,26.03,48,16,0.92,-1.13,AU4 MICRO-LEAKAGE
03:06:24.582,31.14,25.14,48,16,1.1,-1.13,AU4 MICRO-LEAKAGE
