Timestamp,Composite_Stress_Score,Optical_BPM,Blink_BPM,AU4_Corrugator_Z_Score,AU23_Orbicularis_Oris_Z_Score,Detected_Anomalies
12:08:36.493,0.84,54,13,-0.44,0.77,COGNITIVE RIGIDITY
12:08:36.523,1.6,54,13,-0.43,0.74,COGNITIVE RIGIDITY
12:08:36.554,2.29,54,13,-0.44,0.73,COGNITIVE RIGIDITY
12:08:36.575,2.92,54,12,-0.45,0.72,COGNITIVE RIGIDITY
12:08:36.619,3.43,54,12,-0.33,0.73,COGNITIVE RIGIDITY
12:08:36.640,3.85,54,12,-0.25,0.73,COGNITIVE RIGIDITY
12:08:36.683,4.23,54,12,-0.25,0.71,COGNITIVE RIGIDITY
12:08:36.707,4.59,54,12,-0.25,0.7,COGNITIVE RIGIDITY
12:08:36.759,4.91,54,12,-0.21,0.64,COGNITIVE RIGIDITY
12:08:36.782,5.21,54,12,-0.18,0.6,COGNITIVE RIGIDITY
12:08:36.821,5.52,54,12,-0.18,0.51,COGNITIVE RIGIDITY
12:08:36.842,5.84,54,12,-0.18,0.45,COGNITIVE RIGIDITY
12:08:36.884,6.22,54,12,-0.35,0.41,COGNITIVE RIGIDITY
12:08:36.905,6.63,54,12,-0.46,0.39,COGNITIVE RIGIDITY
12:08:36.946,7.04,58,12,-0.5,0.36,COGNITIVE RIGIDITY
12:08:36.966,7.39,58,11,-0.47,0.36,COGNITIVE RIGIDITY
12:08:37.010,7.71,58,11,-0.46,0.35,COGNITIVE RIGIDITY
12:08:37.031,7.99,58,11,-0.44,0.32,COGNITIVE RIGIDITY
12:08:37.074,8.24,58,11,-0.4,0.31,COGNITIVE RIGIDITY
12:08:37.092,8.41,58,11,-0.29,0.31,COGNITIVE RIGIDITY
12:08:37.153,8.52,58,11,-0.21,0.3,COGNITIVE RIGIDITY
12:08:37.172,8.49,58,11,0.06,0.29,COGNITIVE RIGIDITY
12:08:37.218,8.34,58,11,0.3,0.3,COGNITIVE RIGIDITY
12:08:37.238,8.16,58,11,0.4,0.29,COGNITIVE RIGIDITY
12:08:37.308,7.97,58,11,0.47,0.28,COGNITIVE RIGIDITY
12:08:37.335,7.78,58,11,0.51,0.28,COGNITIVE RIGIDITY
12:08:37.353,7.49,58,11,0.58,0.44,COGNITIVE RIGIDITY
12:08:37.374,7.2,58,11,0.56,0.52,COGNITIVE RIGIDITY
12:08:37.422,6.95,58,10,0.5,0.56,COGNITIVE RIGIDITY
12:08:37.449,6.73,58,10,0.46,0.58,COGNITIVE RIGIDITY
12:08:37.475,6.59,62,10,0.32,0.61,COGNITIVE RIGIDITY
12:08:37.491,6.49,62,10,0.27,0.63,COGNITIVE RIGIDITY
12:08:37.584,6.41,62,10,0.21,0.63,COGNITIVE RIGIDITY
12:08:37.609,6.37,62,10,0.17,0.64,COGNITIVE RIGIDITY
12:08:37.634,6.5,62,10,-0.03,0.48,COGNITIVE RIGIDITY
12:08:37.653,6.71,62,10,-0.17,0.45,COGNITIVE RIGIDITY
12:08:37.689,6.98,62,10,-0.28,0.4,COGNITIVE RIGIDITY
12:08:37.710,7.25,62,10,-0.35,0.41,COGNITIVE RIGIDITY
12:08:37.747,7.51,62,10,-0.4,0.44,COGNITIVE RIGIDITY
12:08:37.765,7.74,62,10,-0.47,0.5,COGNITIVE RIGIDITY
12:08:37.836,7.96,62,10,-0.53,0.54,COGNITIVE RIGIDITY
12:08:37.859,8.17,62,10,-0.58,0.57,COGNITIVE RIGIDITY
12:08:37.887,8.34,62,10,-0.62,0.65,COGNITIVE RIGIDITY
12:08:37.907,8.5,62,10,-0.67,0.68,COGNITIVE RIGIDITY
12:08:37.955,8.66,62,9,-0.71,0.7,COGNITIVE RIGIDITY
12:08:37.975,8.78,62,9,-0.68,0.71,COGNITIVE RIGIDITY
12:08:38.018,8.86,58,9,-0.65,0.73,COGNITIVE RIGIDITY
12:08:38.039,8.97,58,9,-0.72,0.73,COGNITIVE RIGIDITY
12:08:38.082,9.09,58,9,-0.76,0.72,COGNITIVE RIGIDITY
12:08:38.103,9.25,58,9,-0.8,0.66,COGNITIVE RIGIDITY
12:08:38.172,9.45,58,9,-0.85,0.6,COGNITIVE RIGIDITY
12:08:38.207,9.66,58,9,-0.87,0.56,COGNITIVE RIGIDITY
12:08:38.225,9.81,58,9,-0.83,0.6,COGNITIVE RIGIDITY
12:08:38.243,9.93,58,9,-0.82,0.62,COGNITIVE RIGIDITY
12:08:38.277,10.03,58,9,-0.83,0.64,COGNITIVE RIGIDITY
12:08:38.297,10.14,58,9,-0.86,0.65,COGNITIVE RIGIDITY
12:08:38.376,10.24,58,9,-0.88,0.65,COGNITIVE RIGIDITY
12:08:38.397,10.34,58,9,-0.9,0.66,COGNITIVE RIGIDITY
12:08:38.420,10.43,58,9,-0.95,0.69,COGNITIVE RIGIDITY
12:08:38.439,10.5,58,9,-0.95,0.72,COGNITIVE RIGIDITY
12:08:38.480,10.56,58,9,-0.96,0.74,COGNITIVE RIGIDITY
12:08:38.498,10.6,58,9,-0.93,0.74,COGNITIVE RIGIDITY
12:08:38.546,10.62,61,9,-0.9,0.74,COGNITIVE RIGIDITY
12:08:38.564,10.57,61,9,-0.81,0.78,COGNITIVE RIGIDITY
12:08:38.612,10.47,61,9,-0.74,0.82,COGNITIVE RIGIDITY
12:08:38.628,10.22,61,8,-0.48,0.89,COGNITIVE RIGIDITY
12:08:38.673,9.86,61,8,-0.27,0.94,COGNITIVE RIGIDITY
12:08:38.689,9.5,61,8,-0.21,0.96,COGNITIVE RIGIDITY
12:08:38.756,9.17,61,8,-0.22,0.97,COGNITIVE RIGIDITY
12:08:38.772,8.88,61,8,-0.23,0.98,COGNITIVE RIGIDITY
12:08:38.818,8.61,61,8,-0.23,0.99,COGNITIVE RIGIDITY
12:08:38.836,8.38,61,8,-0.24,0.98,COGNITIVE RIGIDITY
12:08:38.884,8.19,61,8,-0.24,0.95,COGNITIVE RIGIDITY
12:08:38.902,8.03,61,8,-0.28,0.95,COGNITIVE RIGIDITY
12:08:38.947,7.92,61,8,-0.32,0.94,COGNITIVE RIGIDITY
12:08:38.965,7.87,61,8,-0.36,0.88,COGNITIVE RIGIDITY
12:08:39.010,7.86,61,8,-0.4,0.84,COGNITIVE RIGIDITY
12:08:39.028,7.89,61,8,-0.43,0.81,COGNITIVE RIGIDITY
12:08:39.073,7.93,58,8,-0.45,0.8,COGNITIVE RIGIDITY
12:08:39.089,7.92,58,8,-0.35,0.78,COGNITIVE RIGIDITY
